Crucero,semaforizado,total_incidentes,LATITUDE,LONGITUDE,street_view
PERIFERICO RAUL LOPEZ SANCHEZ & AV PROLONG. BRAVO OTE,no,87,25.5823808,-103.4184719,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5823808,-103.4184719"
NUDO MIXTECO,No,62,25.5428443,-103.4067861,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5428443,-103.4067861"
BLVD. TORREON MATAMOROS FTE AL CAMPO MILITAR,No,47,25.5352742,-103.3509643,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5352742,-103.3509643"
PERIFERICO RAUL LOPEZ SANCHEZ & BLVD INDEPENDENCIA,No,56,25.5810413,-103.4005609,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5810413,-103.4005609"
BLVD. INDEPENDENCIA & CALZ ABASTOS,Sí,40,25.571217,-103.4202951,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.571217,-103.4202951"
PERIFERICO RAUL LOPEZ SANCHEZ & C TORREON SAN PEDRO,No,38,25.7572143,-102.9838564,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.7572143,-102.9838564"
PERIFERICO RAUL LOPEZ SANCHEZ & C TORREON SAN PEDRO,No,37,25.7572143,-102.9838564,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.7572143,-102.9838564"
BLVD. INDEPENDENCIA & CALZ COLON,Sí,35,25.5472374,-103.448509,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5472374,-103.448509"
PERIFERICO RAUL LOPEZ SANCHEZ & CARRET. TORREON SAN PEDRO,No,34,25.584399,-103.406852,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5428443,-103.4067861"
BLVD. TORREON MATAMOROS & CALZ DIVISIN DEL NORTE,Sí,33,25.5350718,-103.3938744,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5350718,-103.3938744"
BLVD. REVOLUCIN & CALZ COLON,Sí,32,25.5356929,-103.4486079,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5356929,-103.4486079"
BLVD. REVOLUCIN & CALZ SALTILLO 400,Sí,32,25.5353333,-103.4056339,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5353333,-103.4056339"
BLVD. REVOLUCIN & AV IGNACIO COMONFORT,Sí,29,25.5848913,-103.4174806,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5848913,-103.4174806"
PERIFERICO RAUL LOPEZ SANCHEZ,No,29,25.5823808,-103.4184719,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5823808,-103.4184719"
BLVD. TORREON MATAMOROS & BLVD LIBERTAD,Sí,24,25.535104,-103.364064,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.535104,-103.364064"
BLVD. INDEPENDENCIA & CALZ CUAUHTEMOC,Sí,20,25.5600507,-103.4341783,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5600507,-103.4341783"
PERIFERICO RAUL LOPEZ SANCHEZ & PUENTE SANTA FE,No,20,25.5823808,-103.4184719,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5823808,-103.4184719"
BLVD. DIAGONAL REFORMA & AV JUAREZ,Sí,19,25.5381068,-103.4091699,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5381068,-103.4091699"
PERIFERICO RAUL LOPEZ SANCHEZ & PUENTE SANTA FE,No,19,25.5823808,-103.4184719,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5823808,-103.4184719"
CALZ. ANTONIO DE JUAMBELZ & AV PRESIDENTE CARRANZA,Sí,18,25.5361574,-103.414074,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5361574,-103.414074"
PERIFERICO RAUL LOPEZ SANCHEZ & BLVD TORREON MATAMOROS,No,17,25.57504,-103.4519534,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.57504,-103.4519534"
BLVD. REVOLUCIN & CALZ CUAUHTEMOC,Sí,16,25.5357361,-103.434341,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5357361,-103.434341"
PERIFERICO RAUL LOPEZ SANCHEZ SOBRE PUENTE EL CAMPESINO,No,16,25.5766427,-103.3915139,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5766427,-103.3915139"
BLVD. REVOLUCIN & CALZ MATIAS ROMAN,Sí,15,25.5355878,-103.4291411,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5355878,-103.4291411"
CALZ. SALTILLO 400 & PASEO DE LOS CALVOS,Sí,15,25.5164589,-103.4060902,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5164589,-103.4060902"
PERIFERICO RAUL LOPEZ SANCHEZ & ANTIGUA CARRETERA A SAN PEDRO,No,15,25.5767879,-103.3913581,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5767879,-103.3913581"
